Team,Players
SAS,"Anthony Tolliver, Austin Croshere, Blake Ahearn, Bruce Bowen, Desmon Farmer, Drew Gooden, Fabricio Oberto, George Hill, Ime Udoka, Jacque Vaughn, Kurt Thomas, Malik Hairston, Manu Ginobili, Marcus Williams, Matt Bonner, Michael Finley, Pops Mensah-Bonsu, Roger Mason, Tim Duncan, Tony Parker"
PHO,"Alando Tucker, Amar'e Stoudemire, Boris Diaw, Courtney Sims, Dee Brown, Goran Dragic, Grant Hill, Jared Dudley, Jason Richardson, Leandro Barbosa, Lou Amundson, Matt Barnes, Raja Bell, Robin Lopez, Sean Singletary, Shaquille O'Neal, Steve Nash, Stromile Swift"
NJN,"Bobby Simmons, Brook Lopez, Chris Douglas-Roberts, Devin Harris, Eduardo Najera, Jarvis Hayes, Josh Boone, Keyon Dooling, Maurice Ager, Ryan Anderson, Sean Williams, Stromile Swift, Trenton Hassell, Vince Carter, Yi Jianlian"
IND,"Brandon Rush, Danny Granger, Jarrett Jack, Jeff Foster, Josh McRoberts, Maceo Baston, Marquis Daniels, Mike Dunleavy, Rasho Nesterovic, Roy Hibbert, Stephen Graham, T.J. Ford, Travis Diener, Troy Murphy"
CHI,"Aaron Gray, Andres Nocioni, Anthony Roberson, Ben Gordon, Brad Miller, Cedric Simmons, Demetris Nichols, Derrick Rose, Drew Gooden, Joakim Noah, John Salmons, Kirk Hinrich, Larry Hughes, Lindsey Hunter, Linton Johnson, Luol Deng, Thabo Sefolosha, Tim Thomas, Tyrus Thomas"
MIL,"Andrew Bogut, Austin Croshere, Charlie Bell, Charlie Villanueva, Damon Jones, Dan Gadzuric, Eddie Gill, Francisco Elson, Joe Alexander, Keith Bogans, Luc Mbah a Moute, Luke Ridnour, Malik Allen, Michael Redd, Ramon Sessions, Richard Jefferson, Tyronn Lue"
SAC,"Andres Nocioni, Beno Udrih, Bobby Brown, Bobby Jackson, Brad Miller, Calvin Booth, Cedric Simmons, Donte Greene, Drew Gooden, Francisco Garcia, Ike Diogu, Jason Thompson, John Salmons, Kenny Thomas, Kevin Martin, Mikki Moore, Quincy Douby, Rashad McCants, Shelden Williams, Spencer Hawes, Will Solomon"
UTA,"Andrei Kirilenko, Brevin Knight, C.J. Miles, Carlos Boozer, Deron Williams, Jarron Collins, Kosta Koufos, Kyle Korver, Kyrylo Fesenko, Matt Harpring, Mehmet Okur, Morris Almond, Paul Millsap, Ronnie Brewer, Ronnie Price"
OKC,"Chris Wilcox, Chucky Atkins, D.J. White, Damien Wilkins, Desmond Mason, Earl Watson, Jeff Green, Joe Smith, Johan Petro, Kevin Durant, Kyle Weaver, Malik Rose, Mouhamed Sene, Nenad Krstic, Nick Collison, Robert Swift, Russell Westbrook, Shaun Livingston, Steven Hill, Thabo Sefolosha"
MIN,"Al Jefferson, Bobby Brown, Brian Cardinal, Calvin Booth, Corey Brewer, Craig Smith, Jason Collins, Kevin Love, Kevin Ollie, Mark Madsen, Mike Miller, Randy Foye, Rashad McCants, Rodney Carney, Ryan Gomes, Sebastian Telfair, Shelden Williams"
NOH,"Antonio Daniels, Chris Paul, David West, Devin Brown, Hilton Armstrong, James Posey, Julian Wright, Melvin Ely, Mike James, Morris Peterson, Peja Stojakovic, Rasual Butler, Ryan Bowen, Sean Marks, Tyson Chandler"
DAL,"Antoine Wright, Brandon Bass, DeSagana Diop, Devean George, Dirk Nowitzki, Erick Dampier, Gerald Green, J.J. Barea, James Singleton, Jason Kidd, Jason Terry, Jerry Stackhouse, Josh Howard, Matt Carroll, Ryan Hollins, Shawne Williams"
LAL,"Adam Morrison, Andrew Bynum, Chris Mihm, Derek Fisher, Didier Ilunga-Mbenga, Jordan Farmar, Josh Powell, Kobe Bryant, Lamar Odom, Luke Walton, Pau Gasol, Sasha Vujacic, Shannon Brown, Sun Yue, Trevor Ariza, Vladimir Radmanovic"
POR,"Brandon Roy, Channing Frye, Greg Oden, Ike Diogu, Jerryd Bayless, Joel Przybilla, LaMarcus Aldridge, Martell Webster, Michael Ruffin, Nicolas Batum, Rudy Fernandez, Sergio Rodriguez, Shavlik Randolph, Steve Blake, Travis Outlaw"
MEM,"Adonal Foyle, Darius Miles, Darko Milicic, Darrell Arthur, Greg Buckner, Hakim Warrick, Hamed Haddadi, Javaris Crittenton, Kyle Lowry, Marc Gasol, Marko Jaric, Mike Conley, O.J. Mayo, Quinton Ross, Rudy Gay"
LAC,"Al Thornton, Alex Acker, Baron Davis, Brian Skinner, Cheikh Samb, Chris Kaman, Cuttino Mobley, DeAndre Jordan, Eric Gordon, Fred Jones, Jason Hart, Marcus Camby, Mardy Collins, Mike Taylor, Paul Davis, Ricky Davis, Steve Novak, Tim Thomas, Zach Randolph"
DEN,"Allen Iverson, Anthony Carter, Carmelo Anthony, Chauncey Billups, Cheikh Samb, Chris Andersen, Chucky Atkins, Dahntay Jones, J.R. Smith, Jason Hart, Johan Petro, Juwan Howard, Kenyon Martin, Linas Kleiza, Nene Hilario, Renaldo Balkman, Sonny Weems"
TOR,"Andrea Bargnani, Anthony Parker, Chris Bosh, Hassan Adams, Jake Voskuhl, Jamario Moon, Jason Kapono, Jermaine O'Neal, Joey Graham, Jose Calderon, Kris Humphries, Marcus Banks, Nathan Jawai, Patrick O'Bryant, Pops Mensah-Bonsu, Quincy Douby, Roko Ukic, Shawn Marion, Will Solomon"
BOS,"Brian Scalabrine, Eddie House, Gabe Pruitt, Glen Davis, Henry Walker, J.R. Giddens, Kendrick Perkins, Kevin Garnett, Leon Powe, Mikki Moore, Patrick O'Bryant, Paul Pierce, Rajon Rondo, Ray Allen, Stephon Marbury, Tony Allen"
NYK,"Al Harrington, Anthony Roberson, Cheikh Samb, Chris Duhon, Chris Wilcox, Courtney Sims, Danilo Gallinari, David Lee, Demetris Nichols, Eddy Curry, Jamal Crawford, Jared Jeffries, Jerome James, Joe Crawford, Larry Hughes, Malik Rose, Mardy Collins, Mouhamed Sene, Nate Robinson, Quentin Richardson, Tim Thomas, Wilson Chandler, Zach Randolph"
CHA,"Adam Morrison, Alexis Ajinca, Andre Brown, Boris Diaw, Cartier Martin, D.J. Augustin, DeSagana Diop, Dontell Jefferson, Dwayne Jones, Emeka Okafor, Gerald Wallace, Jared Dudley, Jason Richardson, Juwan Howard, Linton Johnson, Matt Carroll, Nazr Mohammed, Raja Bell, Raymond Felton, Ryan Hollins, Sean May, Sean Singletary, Shannon Brown, Vladimir Radmanovic"
ATL,"Acie Law, Al Horford, Joe Johnson, Josh Smith, Mario West, Marvin Williams, Maurice Evans, Mike Bibby, Othello Hunter, Randolph Morris, Ronald Murray, Solomon Jones, Speedy Claxton, Thomas Gardner, Zaza Pachulia"
WAS,"Andray Blatche, Antawn Jamison, Antonio Daniels, Brendan Haywood, Caron Butler, Darius Songaila, DeShawn Stevenson, Dee Brown, Dominic McGuire, Etan Thomas, Gilbert Arenas, JaVale McGee, Javaris Crittenton, Juan Dixon, Mike James, Nick Young, Oleksiy Pecherov"
GSW,"Al Harrington, Andris Biedrins, Anthony Morrow, Anthony Randolph, Brandan Wright, C.J. Watson, Corey Maggette, DeMarcus Nelson, Jamal Crawford, Jermareo Davidson, Kelenna Azubuike, Marco Belinelli, Marcus Williams, Monta Ellis, Rob Kurz, Ronny Turiaf, Stephen Jackson"
DET,"Alex Acker, Allen Iverson, Amir Johnson, Antonio McDyess, Arron Afflalo, Chauncey Billups, Jason Maxiell, Kwame Brown, Rasheed Wallace, Richard Hamilton, Rodney Stuckey, Tayshaun Prince, Walter Herrmann, Walter Sharpe, Will Bynum"
PHI,"Andre Iguodala, Andre Miller, Donyell Marshall, Elton Brand, Kareem Rush, Lou Williams, Marreese Speights, Reggie Evans, Royal Ivey, Samuel Dalembert, Thaddeus Young, Theo Ratliff, Willie Green"
CLE,"Anderson Varejao, Ben Wallace, Daniel Gibson, Darnell Jackson, Delonte West, J.J. Hickson, Jawad Williams, Joe Smith, LeBron James, Lorenzen Wright, Mo Williams, Sasha Pavlovic, Tarence Kinsey, Trey Johnson, Wally Szczerbiak, Zydrunas Ilgauskas"
ORL,"Adonal Foyle, Anthony Johnson, Brian Cook, Courtney Lee, Dwight Howard, Hedo Turkoglu, J.J. Redick, Jameer Nelson, Jeremy Richardson, Keith Bogans, Marcin Gortat, Mickael Pietrus, Rafer Alston, Rashard Lewis, Tony Battie, Tyronn Lue"
MIA,"Chris Quinn, Daequan Cook, Dorell Wright, Dwyane Wade, Jamaal Magloire, Jamario Moon, James Jones, Jermaine O'Neal, Joel Anthony, Luther Head, Marcus Banks, Mario Chalmers, Mark Blount, Michael Beasley, Shaun Livingston, Shawn Marion, Udonis Haslem, Yakhouba Diawara"
HOU,"Aaron Brooks, Brent Barry, Brian Cook, Carl Landry, Chuck Hayes, Dikembe Mutombo, James White, Joey Dorsey, Kyle Lowry, Luis Scola, Luther Head, Metta World Peace, Rafer Alston, Shane Battier, Tracy McGrady, Von Wafer, Yao Ming"
